,GDPgrowth,initGDP,MSE,FSE,FHE,MHE,life_exp,eduGDP,invGDP,govGDP,pol
India75,0.010442985,6.469250317,0.223,0.055,0.007,0.03,3.779633817,0.02435,0.17202,0.08899,0.1505705
Indonesia75,0.046318929,6.378426184,0.232,0.065,0.002,0.017,3.751854253,0.0191,0.1165,0.04998,0.2004425
Iran75,0.053843022,7.98752448,0.318,0.102,0.006,0.054,3.828641396,0.02515,0.1612,0.01,0.0071525
Iraq75,0.02163208,8.35819746,0.18,0.044,0.013,0.047,3.828641396,0.046,0.06045,0.03996,0.36035
Israel75,0.045877815,8.40469616,1.476,1.154,0.244,0.427,4.276666119,0.05515,0.31497,0.03599,0.015875
Japan75,0.063642978,8.419359831,1.91,1.56,0.055,0.366,4.234106505,0.0312,0.39079,0.04793,0.0004725
Jordan75,-0.004549192,7.361375429,0.675,0.238,0.02,0.086,3.879499814,0.0343,0.14697,0.04616,0.33575
Korea75,0.081146684,6.942156706,1.526,0.47,0.031,0.228,4.010962953,0.02525,0.22026,0.04889,0.151445
Malaysia75,0.047160981,7.398174093,0.843,0.286,0.032,0.075,4.018183201,0.0366,0.21499,0.06265,0
Pakistan75,0.003529108,6.760414691,0.512,0.185,0.026,0.067,3.788724789,0.0137,0.11447,0.08736,0.154045
Philippines75,0.027827313,7.113142109,0.759,0.547,0.239,0.273,3.996364154,0.022,0.14296,0.10317,0.05885
Sri_Lanka75,0.010808633,7.097548851,1.537,0.91,0.011,0.028,4.146304301,0.03365,0.12343,0.15601,0.05
Syria75,0.060112209,7.573017256,0.303,0.085,0.009,0.055,3.935739532,0.0321,0.14173,0.00627,0.25
Taiwan75,0.061385706,7.479299638,1.36,0.423,0.035,0.214,4.180522258,0.0245,0.24257,0.14652,0.0534
Thailand75,0.039709686,7.021083964,0.382,0.137,0.02,0.049,3.985273467,0.02105,0.20037,0.06787,0.1
Austria75,0.03781203,8.724857556,1.087,0.51,0.029,0.162,4.237000863,0.0355,0.29671,0.07906,0
Belgium75,0.035613512,8.83287946,1.724,1.398,0.095,0.238,4.257030144,0.04445,0.28522,0.03721,0
Cyprus75,0.014728464,7.913886715,1.281,0.743,0.053,0.126,4.237000863,0.0293,0.32889,0.06856,0.327
Denmark75,0.018591943,9.043340831,1.28,1.286,0.455,0.468,4.282206299,0.0533,0.32587,0.07744,0
Finland75,0.0390924,8.798907492,0.382,0.397,0.126,0.162,4.228292535,0.0513,0.40422,0.04854,0
France75,0.033098536,8.925188429,0.749,0.655,0.041,0.124,4.259859001,0.02915,0.31866,0.05143,0.00201
Germany_West75,0.023140222,8.991064332,0.67,0.451,0.048,0.107,4.24563401,0.02925,0.32742,0.06329,0.0032625
Greece75,0.052778286,8.027476531,0.779,0.437,0.056,0.187,4.242764567,0.01695,0.3217,0.03965,0.15
Ireland75,0.039974338,8.257385656,1.301,1.533,0.103,0.18,4.251348311,0.03995,0.3026,0.07051,0.016
Italy75,0.03717911,8.658345471,1.184,0.756,0.037,0.122,4.24563401,0.03305,0.3254,0.05148,0
Netherlands75,0.032762391,8.910720662,0.884,0.57,0.033,0.14,4.290459441,0.05505,0.31203,0.02573,0
Norway75,0.034505338,8.860073424,1.026,0.81,0.021,0.118,4.295923936,0.0487,0.36181,0.04619,0
Spain75,0.045711408,8.452121195,0.598,0.299,0.026,0.093,4.242764567,0.0127,0.31082,0.04796,0.0014375
Sweden75,0.024047243,9.140454245,2.629,2.228,0.21,0.27,4.298645026,0.0617,0.28345,0.07688,0
Switzerland75,0.01462574,9.343909264,1.818,1.297,0.184,0.396,4.271095074,0.0339,0.32766,0.01384,0
United_Kingdom75,0.020146122,8.90340752,1.036,1.151,0.041,0.123,4.262679877,0.04025,0.22599,0.08175,0.0517775
Australia75,0.025906507,9.101417965,2.541,2.353,0.088,0.207,4.262679877,0.03475,0.32721,0.02567,0.00795
New_Zealand75,0.014675901,9.111514018,2.25,2.132,0.079,0.194,4.162003211,0.037,0.28656,0.06351,0
