wage,educ,exper,tenure,married,black,south,urban
1386,16,10,11,1,0,1,0
732,12,10,7,1,0,1,1
865,13,4,9,1,0,1,1
700,12,13,13,1,0,1,0
975,9,20,10,1,0,1,0
1300,13,12,3,1,0,1,1
900,14,12,3,1,0,1,1
829,12,15,15,1,0,0,1
1000,12,17,13,1,0,1,1
827,16,7,8,1,0,0,1
500,13,5,2,1,0,1,1
1155,13,9,1,1,0,0,1
950,15,8,3,0,0,0,1
700,13,10,4,1,0,0,1
1710,18,7,6,1,0,0,1
533,12,5,1,0,1,0,1
2004,18,10,0,1,0,0,1
890,14,9,8,1,0,0,1
3078,13,11,4,1,0,0,1
1539,17,10,13,1,0,0,1
508,12,1,1,1,1,0,1
1354,17,13,9,0,0,0,0
1143,12,21,8,1,0,0,1
962,12,16,8,1,0,0,1
1250,12,19,20,1,0,0,1
990,12,16,3,1,1,0,1
905,12,17,4,1,0,0,0
926,12,18,0,1,0,0,1
1559,12,17,10,1,0,0,1
1312,10,14,4,1,0,0,1
923,14,8,16,1,1,0,1
879,18,1,9,1,0,0,1
800,13,14,1,1,0,1,1
1049,14,6,10,1,0,0,0
550,12,4,1,0,0,0,0
1190,17,4,2,1,0,0,1
583,14,10,6,1,0,0,0
1200,14,5,2,1,0,0,1
797,16,11,5,1,0,0,1
1371,18,8,13,1,0,0,0
360,13,11,1,0,1,0,1
1270,12,11,12,1,0,0,1
1832,12,16,1,1,0,0,1
909,12,14,5,1,0,0,1
1746,18,9,10,1,0,0,1
520,16,8,1,1,0,0,1
808,16,6,7,1,0,0,0
2137,16,11,2,1,0,0,1
692,15,9,3,1,1,0,1
931,16,4,1,1,0,0,1
812,16,11,3,1,0,0,1
866,14,16,14,1,0,0,1
1442,12,14,9,1,0,0,1
500,14,12,0,1,0,0,0
1384,18,12,2,1,0,0,1
528,18,5,9,1,0,0,1
881,12,4,14,1,0,0,0
1026,12,11,11,1,0,0,1
1212,12,11,12,0,0,0,1
1620,15,8,5,1,0,0,0
1843,16,11,2,1,0,0,1
1602,16,12,2,1,0,0,1
1000,13,6,1,1,0,0,1
737,12,7,4,1,0,0,1
1699,12,10,1,0,0,1,1
1699,12,11,9,1,0,0,1
1025,14,6,5,1,0,0,1
1107,12,12,5,1,0,0,1
625,11,1,1,1,0,0,1
720,13,1,7,1,0,0,1
855,12,19,10,1,0,0,1
1250,12,12,2,1,0,0,1
1130,18,4,13,1,0,0,0
900,12,6,1,0,0,0,1
1924,17,6,7,1,0,0,1
962,15,8,2,1,0,0,1
1874,11,22,3,1,1,0,1
1573,12,5,3,1,0,0,1
940,14,11,7,1,0,0,1
900,16,8,9,1,0,0,0
882,12,15,13,1,0,0,0
1710,18,12,12,1,0,0,1
1260,12,19,15,1,0,0,0
751,12,9,7,1,0,0,0
1097,11,12,12,1,0,0,0
1001,13,11,11,1,0,0,0
1154,15,11,12,0,0,0,0
1000,12,15,16,1,0,0,1
1250,12,16,3,1,0,0,1
857,12,18,3,1,0,1,1
1211,12,13,3,1,0,0,1
937,16,12,7,1,0,0,1
904,13,7,1,1,0,0,1
872,15,7,4,1,0,0,1
1200,9,18,0,1,0,0,1
1261,17,1,9,1,0,0,1
950,12,14,2,1,0,0,1
115,12,9,3,1,0,0,1
673,17,6,4,1,0,0,1
1084,15,17,10,1,0,0,1
1058,14,13,14,1,0,0,1
800,12,20,12,1,0,0,0
369,18,11,1,0,0,0,0
1924,16,14,13,1,0,0,0
855,12,17,15,1,0,0,0
864,12,15,6,1,0,0,0
1092,16,15,13,1,0,0,1
1025,16,9,4,1,0,0,0
850,12,11,2,1,0,0,0
673,12,17,10,1,0,0,0
800,14,12,12,1,0,0,0
1049,16,7,3,1,0,0,0
884,17,9,11,1,0,0,1
800,16,10,2,0,0,1,1
1200,17,9,9,1,0,0,1
664,12,8,10,1,0,0,1
1111,12,18,18,1,0,0,1
850,16,8,8,1,0,0,1
1000,12,6,12,1,0,0,1
875,12,8,4,0,0,0,1
1202,16,10,2,1,0,0,0
666,12,10,2,1,0,0,0
923,16,15,11,1,0,0,0
788,12,10,10,1,0,1,1
950,10,23,5,1,0,1,1
1442,12,9,16,1,0,1,1
866,12,11,12,1,1,1,0
625,9,17,5,1,0,1,0
680,12,13,9,0,0,1,0
693,12,11,19,1,0,1,0
875,12,16,2,0,1,1,0
2308,17,8,2,1,0,0,0
1196,14,10,4,1,0,1,0
700,12,13,8,1,1,1,1
721,12,8,8,1,0,1,1
1500,13,13,2,1,0,1,1
1050,15,4,9,1,1,1,1
801,14,6,10,1,1,1,1
640,12,7,3,0,1,1,1
1198,16,7,9,1,0,1,1
390,12,4,2,1,0,1,1
889,12,12,11,1,0,1,1
1076,12,19,20,1,0,1,1
1127,12,17,12,1,0,1,1
750,15,1,1,1,0,1,0
855,14,6,14,1,0,1,0
525,13,5,1,1,0,1,0
1104,12,11,4,1,0,1,0
553,12,11,10,1,1,1,0
800,12,10,1,1,0,1,0
1384,13,8,7,1,0,1,0
425,17,8,0,0,0,1,0
510,11,13,4,0,1,1,1
370,12,13,2,1,1,1,0
596,12,16,14,1,1,1,0
402,12,9,4,1,1,0,1
418,12,12,2,1,1,1,0
1133,16,13,10,1,0,1,0
681,12,18,15,0,0,1,1
950,11,16,5,1,0,1,0
600,10,20,7,1,0,1,0
661,13,8,6,0,0,1,0
925,12,12,9,1,0,1,0
